;怪物编号;怪物名称;角色类型;资源编号;包围盒坐标x;包围盒坐标y;包围盒宽;包围盒高;生命值;攻击力;防御力;空间维度;优先目标;警戒半径;移动速度;普通攻击;技能编号一;技能编号二;技能编号三;技能编号四;技能编号五
desc;monsterID;name;type;resourceID;x;y;width;hight;hp;atk;def;dimension;target;radius;speed;skill0;skill1;skill2;skill3;skill4;skill5
步兵;1;unitname_1;0;Unit0;-9;-15;19;35;5000;20;2;1;0;0;0;1;;;;;
弓箭兵;2;unitname_2;0;Unit1;-9;-15;19;35;1000;10;1;1;0;0;0;2;;;;;
怪兽;3;unitname_3;0;Unit2;-9;-15;19;35;1000;10;1;1;0;0;0;0;10001;;;;
步兵;4;unitname_1;0;Unit3;-9;-15;19;35;5000;20;2;1;0;0;0;1;;;;;
弓箭兵;5;unitname_2;0;Unit4;-9;-15;19;35;1000;10;1;1;0;0;0;2;;;;;
怪兽;6;unitname_3;0;Unit5;-9;-15;19;35;1000;10;1;1;0;0;0;0;10001;;;;
步兵;7;unitname_1;0;Unit6;-9;-15;19;35;5000;20;2;1;0;0;0;1;;;;;
弓箭兵;8;unitname_2;0;Unit7;-9;-15;19;35;1000;10;1;1;0;0;0;2;;;;;
怪兽;9;unitname_3;0;Unit8;-9;-15;19;35;1000;10;1;1;0;0;0;0;10001;;;;
步兵;10;unitname_1;0;Unit9;-9;-15;19;35;5000;20;2;1;0;0;0;1;;;;;
弓箭兵;11;unitname_2;0;Unit10;-9;-15;19;35;1000;10;1;1;0;0;0;2;;;;;
怪兽;12;unitname_3;0;Unit11;-9;-15;19;35;1000;10;1;1;0;0;0;0;10001;;;;
