;单位编号;单位名称;单位类型;资源编号;关联类;占格子宽;占格子高;生产时间;矿物消耗;瓦斯消耗;生命值;攻击力;空间维度;优先目标;警戒半径;移动速度;攻击速度;普通攻击;技能编号一;技能编号二;技能编号三;技能编号四;技能编号五;
;int;string;string;string;string;int;int;int;int;int;int;int;int;int;float;float;float;string;string;string;string;string;string;
desc;unitID(b);name;type;resourceID;className;gridWidth(b);gridHeight(b);buildingTime(b);mineralCost(b);gasCost(b);hp(b);atk(b);dimension(b);target(b);radius(b);speed(b);rate(b);skill0;skill1;skill2;skill3;skill4;skill5;
狂徒;10101;unit_1001;;unit0;CWarriorUnit0;1;1;30;10;0;120;10;1;0;4;3;1;1;10001;;;;;
机枪兵;10201;unit_1002;;unit1;CWarriorUnit1;1;1;30;20;0;80;8;1;0;4;3;1;2;10002;;;;;
猛犸;10301;unit_1003;;unit2;CWarriorUnit2;2;2;30;30;0;250;32;1;0;4;2;0.5;3;10003;;;;;
火蝠;10401;unit_1004;;unit3;CWarriorUnit3;2;2;30;40;10;100;12;1;0;4;2;0.6;4;10004;;;;;
主基地1级;20101;unit_2001;;unit2001;CMainBase;8;8;60;500;500;5000;0;1;0;999;0;0;0;;;;;;
主基地2级;20102;unit_2001;;unit2001;CMainBase;8;8;180;1000;1000;8000;0;1;0;999;0;0;0;;;;;;
兵营1级;20201;unit_2003;;unit2003;CBarrack;6;6;60;200;200;5000;0;1;0;999;0;0;0;;;;;;
兵营2级;20202;unit_2003;;unit2003;CBarrack;6;6;180;400;400;8000;0;1;0;999;0;0;0;;;;;;
